Name,Goals,Assists,Points,Penalties,PIM
WYATT CLARMONT,7,9,16,5,10
RILEY LOWE,11,8,19,10,20
GAVIN REICH,3,3,6,4,8
CONNOR POPOWICH,7,4,11,3,6
TAIT WALSH,5,8,13,8,24
WILLIAM BECKNER,8,5,13,8,16
COOPER RENAUD,1,5,6,1,2
NICHOLAS TUFFORD,0,0,0,2,12
ZANE KRIBERG,0,2,2,2,4
RADMIR YARULLIN,2,3,5,2,15
SELMA PAUL,3,1,4,0,0
COLIN THRELFALL,0,1,1,2,4
DENNIS KOSKI,2,3,5,0,0
LUCY LUM,1,1,2,0,0
