Name,Goals,Assists,Points,Penalties,PIM
MATTHEW STOCKHAM,6,9,15,1,2
RONAN FATTORE LAMBOURNE,0,1,1,1,2
COLTEN DURLEY,7,2,9,5,10
DUKE CROWLE,16,14,30,4,8
ROWAN YIP,1,3,4,1,2
RILEY MACLEOD,10,6,16,1,2
XAVIER GUNNARSON,1,5,6,2,4
LUKAS HAHN,12,4,16,8,16
SULLIVAN WRIGHT,2,4,6,1,2
MARCUS LIANG,1,3,4,0,0
SAUL LINES,6,6,12,2,4
BECKETT HARRISON,0,1,1,4,8
COLIN MURPHY,5,3,8,2,4
KAMRAN MORRISON,3,2,5,0,0
JORDAN ALEXANDER,1,2,3,0,0
BENJAMIN PATON,1,0,1,1,2
