Name,Goals,Assists,Points,Penalties,PIM
JONATHAN MAY,6,5,11,6,12
POL MARTINEZ CASADEVALL,10,5,15,1,2
DYLAN JACOB,3,2,5,14,39
ALEXEI KOPCOK,0,1,1,3,6
AKIHIRO FUJIMI,4,2,6,2,4
ETHAN SONOSKY,4,4,8,5,10
GRANT CLARKE,3,5,8,1,2
LUCAS NORDSTROM,2,4,6,3,6
ROWAN WARD,5,2,7,11,22
CARSON DOWD,3,3,6,2,4
JOSEPH GRUBER,0,2,2,0,0
RYDER MAYELL,0,4,4,5,10
TRENTON DOLAN,0,0,0,4,8
LIAM GEORGE,2,0,2,4,8
NOLAN BOIVIN,1,1,2,3,6
CALLUM MACGREGOR,0,1,1,0,0
